run,heuristic_name,found,path_cost,nodes_expanded,time_ms
0,Manhattan,1,9.0,16,0.3032999957213178
0,Euclidean,1,9.0,19,0.05539999983739108
0,Chebyshev,1,9.0,25,0.05909999890718609
1,Manhattan,1,14.0,29,0.06149999535409734
1,Euclidean,1,14.0,38,0.07210000330815092
1,Chebyshev,1,14.0,49,0.08479999814881012
2,Manhattan,1,12.0,29,0.05870000313734636
2,Euclidean,1,12.0,34,0.06939999730093405
2,Chebyshev,1,12.0,42,0.09040000441018492
3,Manhattan,1,2.0,3,0.012099997547920793
3,Euclidean,1,2.0,3,0.011300006008241326
3,Chebyshev,1,2.0,3,0.011199997970834374
4,Manhattan,1,26.0,132,0.24620000476716086
4,Euclidean,1,26.0,160,0.2699999968172051
4,Chebyshev,1,26.0,167,0.3056999994441867
